,Common Name,Binomial name,Locations,Last record,Biggest Threat,Kingdom,Phylum,Class,Order,Family,Genus,Subphylum,Subfamily,Species,Tribe,Subtribe,Clade,Suborder,Infraclass,Declared extinct,Subspecies,Subgenus
119,Puerto Rican flower bat,Phyllonycteris major,Puerto Rico andAntigua,c. 1500 BCE,Undetermined.[70],Animalia,Chordata,Mammalia,Rodentia,Muridae,Papagomys,,,P. theodorverhoeveni,,,,,,,,
120,Leeward Islands curlytail,Leiocephalus cuneus,Antigua and Barbuda,c. 1500 BCE,Undetermined.[70],Animalia,Chordata,Mammalia,Rodentia,Muridae,Papagomys,,,P. theodorverhoeveni,,,,,,,,
121,European wild ass,Equus hydruntinus,Southern EuropeandSouthwest Asia;Northern Europe(Pleistocene),1294-1035 BCE,Hunting and habitat fragmentation after the end of the Last Glacial Period.[71],Animalia,Chordata,Mammalia,Rodentia,Muridae,Papagomys,,,P. theodorverhoeveni,,,,,,,,
122,Dune shearwater,Puffinus holeae,"Canary Islands, Spain;mainland Portugal(Pleistocene)",1159-790 BCE,Predationbyintroducedhouse mice.[72],Animalia,Chordata,Mammalia,Rodentia,Muridae,Papagomys,,,P. theodorverhoeveni,,,,,,,,
123,Mona Island tortoise,Chelonoidis monensis,Mona Islandof Puerto Rico,c. 1050 BCE,Undetermined.[13],Animalia,Chordata,Mammalia,Rodentia,Muridae,Papagomys,,,P. theodorverhoeveni,,,,,,,,
124,Alor Island,Alormys aplini,"Alor Island, Indonesia",1050 BCE,Undetermined.[18],Animalia,Chordata,Mammalia,Rodentia,Muridae,Papagomys,,,P. theodorverhoeveni,,,,,,,,
125,Lesser Sunda Islands,Hooijeromys nusantenggara,"Lesser Sunda Islands, Indonesia",1050 BCE,Undetermined.[18],Animalia,Chordata,Mammalia,Rodentia,Muridae,Papagomys,,,P. theodorverhoeveni,,,,,,,,
126,Vanuatu terrestrial crocodile,Mekosuchus kalpokasi,"Efate,Vanuatu",1050 BCE,Hunting.[62],Animalia,Chordata,Mammalia,Rodentia,Muridae,Papagomys,,,P. theodorverhoeveni,,,,,,,,
127,Verhoeven's giant tree rat,Papagomys theodoverhoeveni,"Flores, Indonesia",1050 BCE,Undetermined.[18],Animalia,Chordata,Mammalia,Rodentia,Muridae,Papagomys,,,P. theodorverhoeveni,,,,,,,,
128,Noble megapode,Megavitiornis altirostris,Fiji,c. 950 BCE,Hunting.[73],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
129,Fiji giant iguana,Lapitiguana impensa,Fiji,c. 950 BCE,Hunting.[73],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
130,Fiji terrestrial crocodile,Volia athollandersoni,Fiji,c. 950 BCE,Hunting.[73],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
131,Tongan tooth-billed pigeon,Didunculus placopedetes,Tonga,900-750 BCE,Undetermined.[14],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
132,Balsam shrew,Crocidura balsamifera,"Nilegallery forests,Egypt",821-171 BCE,Habitat destruction.[14],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
133,Eurasian muskox,Ovibos moschatus,Northern Eurasia,820-680 BCE,Hunting.[51]The same species survived in North America and wasreintroducedto Eurasia in the 20th century.[75],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
134,Vanuatu horned turtle,?Meiolania damelipi,"Vanuatu andViti Levu,Fiji",c. 810 BCE,Hunting.[76],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
135,Syrian elephant,Elephas maximus asurus,Mesopotamia,800-700 BCE,"Hunting and habitat loss due to agriculture and aridification. However, it's been suggested that it was introduced by humans in the area, which would not make it a valid subspecies.[77]",Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
136,MacPhee's shrew tenrec,Microgale macpheei,Southeastern Madagascar,790-410 BCE,Aridification.[78],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
137,Jamaican ibis,Xenicibis xympithecus,Jamaica,787 BCE - 320 CE,Undetermined.[14],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
138,Law's diving-goose,Chendytes lawi,"Coastal California andOregon, United States",770-400 BCE,Hunting.[79],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
139,Consumed scrubfowl,Megapodius alimentum,Tonga and Fiji,760-660 BCE,Hunting.[80],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
140,Kaua'i stilt-owl,Grallistrix auceps,"Kaua'i, Hawaii, United States",744-202 BCE,Undetermined.[14],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
141,Chatham coot,Fulica chathamensis,"Chatham Islands, New Zealand",701-119 BCE,Probably hunting and predation by introduced mammals.[53],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
142,Bahaman caracara,Caracara creightoni,Cuba andBahamas,700-400 BCE,Undetermined.[81],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
143,Large Tongan iguana,Brachylophus gibbonsi,Tonga,650-570 BCE,Hunting.[80],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
144,David's imperial pigeon,Ducula david,"Ouvéa Island, New Caledonia",550-50 BCE,Hunting.[53],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
145,Plate-toothed giant hutia,Elasmodontomys obliquus,Puerto Rico,511-407 BCE,Undetermined.[82],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
146,Lena horse,Equus lenensis,Northern Siberia,440-280 BCE,Hunting.[51],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
147,Gorilla lemur,Archaeoindris fontoynontii,Central Madagascar,412-199 BCE,Hunting.[83],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
148,Corsican giant shrew,Asoriculus corsicanus,"Corsica, France",348 BCE - 283 CE,Introducedblack ratsand human-induced habitat loss.[84],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
149,Sardinian pika,Prolagus sardus,Corsica and Sardinia,348 BCE - 283 CE,"Hunting, predation and competition with introduced mammals.[85]",Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
150,Hensel's field mouse,Rhagamys orthodon,Corsica and Sardinia,348 BCE - 283 CE,Introduced black rats and human-induced habitat loss.[84],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
151,Tyrrhenian vole,Tyrrhenicola henseli,Corsica and Sardinia,348 BCE - 283 CE,Introduced black rats and human-induced habitat loss.[84],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
152,Imperial gibbon,Junzi imperialis,"Shaanxi?, China",c. 240 BCE,Possibly capture aspetsand deforestation.[86],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
153,Maui flightless ibis,Apteribis brevis,"Maui, Hawaii, United States",170 BCE - 370 CE,Undetermined.[87],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
154,Ancient coua,Coua primaeva,Madagascar,110 BCE - 130 CE,Undetermined.[55],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
155,Buhler's coryphomys,Coryphomys buehleri,Timor,50 BCE,Undetermined.[18],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
156,Timor giant rat,Coryphomys musseri,Timor,50 BCE,Undetermined.[18],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
157,São Miguel scops owl,Otus frutuosoi,"São Miguel Island,Azores, Portugal",49 BCE - 125 CE,Introduced predators?[88],Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,,,†O. frutuosoi,,,,,,,,
158,Eyles's harrier,Circus teauteensis,New Zealand,1-1000,Prey loss and habitat alteration.[53],Animalia,Chordata,Reptilia,,†Meiolaniidae,"†MeiolaniaOwen, 1886[1]",,,,,,Pantestudines,,,,,
159,South Island goose,Cnemiornis calcitrans,"South Island, New Zealand",1-1000,Undetermined.,Animalia,Chordata,Reptilia,,†Meiolaniidae,"†MeiolaniaOwen, 1886[1]",,,,,,Pantestudines,,,,,
160,Silphium,?Ferula sp.,Cyrenaicacoast,54-68,"Aridification,overgrazing, andoverharvesting.[90]",Animalia,Chordata,Reptilia,,†Meiolaniidae,"†MeiolaniaOwen, 1886[1]",,,,,,Pantestudines,,,,,
161,Powerful goshawk,Accipiter efficax,New Caledonia,86-428,Undetermined.[14],Animalia,Chordata,Reptilia,,†Meiolaniidae,"†MeiolaniaOwen, 1886[1]",,,,,,Pantestudines,,,,,
162,Gracile goshawk,Accipiter quartus,New Caledonia,86-428,Undetermined.[14],Animalia,Chordata,Reptilia,,†Meiolaniidae,"†MeiolaniaOwen, 1886[1]",,,,,,Pantestudines,,,,,
163,Kanaka pigeon,Caloenas canacorum,New Caledonia and Tonga; Vanuatu and Fiji?,86-428,Probably hunting.[53],Animalia,Chordata,Reptilia,,†Meiolaniidae,"†MeiolaniaOwen, 1886[1]",,,,,,Pantestudines,,,,,
164,Pile-builder megapode,Megapodius molistructor,New Caledonia and Tonga,86-428,Undetermined.[14],Animalia,Chordata,Reptilia,,†Meiolaniidae,"†MeiolaniaOwen, 1886[1]",,,,,,Pantestudines,,,,,
165,New Caledonian ground dove,Pampusana longitarsus,New Caledonia,86-428,Undetermined.[14],Animalia,Chordata,Reptilia,,†Meiolaniidae,"†MeiolaniaOwen, 1886[1]",,,,,,Pantestudines,,,,,
166,New Caledonian gallinule,Porphyrio kukwiedei,New Caledonia,86-428,Undetermined.[14],Animalia,Chordata,Reptilia,,†Meiolaniidae,"†MeiolaniaOwen, 1886[1]",,,,,,Pantestudines,,,,,
167,Giant fossa,Cryptoprocta spelaea,Madagascar,210,Undetermined.[91],Animalia,Chordata,Reptilia,,†Meiolaniidae,"†MeiolaniaOwen, 1886[1]",,,,,,Pantestudines,,,,,
168,Ball-headed sloth lemur,Mesopropithecus globiceps,Southwestern Madagascar,245-429,Hunting and aridification.[83],Animalia,Chordata,Reptilia,,†Meiolaniidae,"†MeiolaniaOwen, 1886[1]",,,,,,Pantestudines,,,,,
169,Atlas wild ass,Equus africanus atlanticus,North Africa,c. 300,Undetermined.Domestic descendantssurvive in captivity.[92],Animalia,Chordata,Reptilia,,†Meiolaniidae,"†MeiolaniaOwen, 1886[1]",,,,,,Pantestudines,,,,,
170,Marquesas cuckoo-dove,Macropygia heana,"Nuku HivaandUa Huka,Marquesas Islands",300-1200,Undetermined.[14],Animalia,Chordata,Reptilia,,†Meiolaniidae,"†MeiolaniaOwen, 1886[1]",,,,,,Pantestudines,,,,,
171,New Ireland forest rat,Rattus sanila,"New Ireland, Papua New Guinea",347-535,Undetermined.[14],Animalia,Chordata,Reptilia,,†Meiolaniidae,"†MeiolaniaOwen, 1886[1]",,,,,,Pantestudines,,,,,
172,North African elephant,Loxodonta africana pharaoensis,Northwest Africa,370,Hunting and aridification.[94],Animalia,Chordata,Reptilia,,†Meiolaniidae,"†MeiolaniaOwen, 1886[1]",,,,,,Pantestudines,,,,,
173,Southern Malagasy giant rat,Hypogeomys australis,Central and southern Madagascar,428-618,Undetermined.[55],Animalia,Chordata,Reptilia,,†Meiolaniidae,"†MeiolaniaOwen, 1886[1]",,,,,,Pantestudines,,,,,
174,Jamaican monkey,Xenothrix mcgregori,Jamaica,439-473,Undetermined.[60],Animalia,Chordata,Reptilia,,†Meiolaniidae,"†MeiolaniaOwen, 1886[1]",,,,,,Pantestudines,,,,,
175,Oʻahu moa-nalo,Thambetochen xanion,"Oahu, Hawaii, United States",440-639,Undetermined.[14],Animalia,Chordata,Reptilia,,†Meiolaniidae,"†MeiolaniaOwen, 1886[1]",,,,,,Pantestudines,,,,,
176,Chatham duck,Pachyanas chathamica,"Chatham Islands, New Zealand",448-657,Hunting?[14],Animalia,Chordata,Reptilia,,†Meiolaniidae,"†MeiolaniaOwen, 1886[1]",,,,,,Pantestudines,,,,,
177,New Caledonian horned turtle,Meiolania mackayi,New Caledonia,c. 450,Hunting.[95],Animalia,Chordata,Reptilia,,†Meiolaniidae,"†MeiolaniaOwen, 1886[1]",,,,,,Pantestudines,,,,,
178,Cuban spectacled owl,Pulsatrix arredondoi,Cuba,530-590,Undetermined.[96],Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
179,Malagasy shelduck,Alopochen sirabensis,Madagascar,530-860,Possibly hunting and aridification.[53],Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
180,Large baboon lemur,Hadropithecus stenognathus,Central and southern Madagascar,535-876,Hunting and aridification.[83],Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
181,Horned crocodile,Voay robustus,Madagascar,586-670,"Possibly overexploitation of eggs for consumption, environmental changes (natural or caused by human activity), and competition with theNile crocodile.[97]",Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
182,Monkey-like sloth lemur,Mesopropithecus pithecoides,Central Madagascar,600-765,Hunting and aridification.[83],Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
183,Forsyth Major's baboon lemur,Archaeolemur majori,Madagascar,650-780,Hunting and aridification.[83],Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
184,Small O'ahu crake,Porzana ziegleri,"Oahu, Hawaii, United States",650-869,Undetermined.[14],Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
185,Hildebrandt's elephant bird,Aepyornis hildebrandti,Central Madagascar,664-773,Deforestation.[98],Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
186,Cayman Islands geocapromys,Geocapromys caymanensis,Cayman Islands,666-857,Undetermined.[99],Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
187,Cayman Islands nesophontes,Nesophontes cingulus,Cayman Islands,666-857,Undetermined.[99],Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
188,Malagasy dwarf hippopotamus,Hippopotamus lemerlei,Southwestern Madagascar[100],670-836,"Deforestation,[98]hunting, competition with, and changes to vegetation caused by livestock.[83]",Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
189,Lesser elephant bird,Mullerornis modestus,Central and southern Madagascar,680-880,"Hunting, aridification,[83]and deforestation.[98]",Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
190,Malagasy pygmy hippopotamus,Hippopotamus madagascariensis,Northwestern and central Madagascar[100],687-880,"Deforestation,[98]hunting, competition with, and changes to vegetation caused by livestock.[83]",Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
191,Huahine starling,Aplonis diluvialis,"Huahine,Society Islands,French Polynesia",700-1150,Undetermined.[14],Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
192,Huahine gull,Chroicocephalus utunui,"Huahine, Society Islands, French Polynesia",700-1150,Undetermined.[14],Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
193,Huahine rail,Gallirallus storrsolsoni,"Huahine, Society Islands, French Polynesia",700-1150,Possibly hunting and predation by introduced animals.[53],Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
194,Huahine cuckoo-dove,Macropygia arevarevauupa,"Huahine, Society Islands, French Polynesia",700-1150,Undetermined.[14],Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
195,Huahine swamphen,Porphyrio mcnabi,"Huahine, Society Islands, French Polynesia",700-1150,Possibly hunting and introduced predators.[53],Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
196,Cuban cave rail,Nesotrochis picapicensis,Cuba,760,Undetermined.[96],Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
197,Titan elephant bird,Vorombe titan,Central and southern Madagascar,771-952,Deforestation.[98],Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
198,Insular cave rat,Heteropsomys insulans,Puerto Rico,772-870,Undetermined.[82],Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
199,Sinoto's lorikeet,Vini sinotoi,"Marquesas and Society Islands, French Polynesia",810-1025,Hunting.[101],Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
200,Conquered lorikeet,Vini vidivici,"Marquesas, Society, andCook Islands",810-1025,Hunting.[101],Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
201,Malagasy aardvark,Plesiorycteropus madagascariensis,Central and southern Madagascar,865-965,Undetermined.[12],Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
202,Grandidier's giant tortoise,Aldabrachelys grandidieri,Madagascar,c. 884,Hunting and aridification.[83],Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
203,Southern giant ruffed lemur,Pachylemur insignis,Southwestern Madagascar,890-990,Hunting and aridification.[83],Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
204,Giant aye-aye,Daubentonia robusta,Southern Madagascar,900-1150,"Hunting, expansion ofgrassesanddeforestationcaused by domestic cattle andgoatgrazing.[83]",Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
205,Giant island deer mouse,Peromyscus nesodytes,"Channel Islands of California, United States",c. 950,Possibly habitat loss through overgrazing anderosion.[102],Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
206,Grandidier's koala lemur,Megaladapis grandidieri,Madagascar,980-1170,Hunting and vegetation changes caused by livestock.[83],Animalia,Chordata,Mammalia,Primates,†Megaladapidae,"†MegaladapisForsyth Major, 1894[1]",,,,,,,Strepsirrhini,,,,
207,North Island adzebill,Aptornis otidiformis,"North Island, New Zealand",c. 1000,Hunting and predation by introducedPolynesian rats.[53],Animalia,Chordata,Aves,Aegotheliformes,Aegothelidae,Aegotheles,,,†A. novazelandiae,,,,,,,,
208,Henderson archaic pigeon,Bountyphaps obsoleta,"Henderson Island,Pitcairn",1000-1600,Undetermined.[14],Animalia,Chordata,Aves,Aegotheliformes,Aegothelidae,Aegotheles,,,†A. novazelandiae,,,,,,,,
209,Henderson imperial pigeon,Ducula harrisoni,"Henderson Island, Pitcairn",1000-1600,Probably hunting and predation by introduced animals.[53],Animalia,Chordata,Aves,Aegotheliformes,Aegothelidae,Aegotheles,,,†A. novazelandiae,,,,,,,,
210,Henderson ground dove,Pampusana leonpascoi,"Henderson Island, Pitcairn",1000-1600,Undetermined.[14],Animalia,Chordata,Aves,Aegotheliformes,Aegothelidae,Aegotheles,,,†A. novazelandiae,,,,,,,,
211,Puerto Rican nesophontes,Nesophontes edithae,Puerto Rico,1015-1147,Undetermined.[82],Animalia,Chordata,Aves,Aegotheliformes,Aegothelidae,Aegotheles,,,†A. novazelandiae,,,,,,,,
212,Lava shearwater,Puffinus olsoni,"LanzaroteandFuerteventura, Canary Islands",1020-1260,Predation by introduced black rats andcats.[103],Animalia,Chordata,Aves,Aegotheliformes,Aegothelidae,Aegotheles,,,†A. novazelandiae,,,,,,,,
213,Giant elephant bird,Aepyornis maximus,Southern Madagascar,1040-1380,"Hunting, competition with, and changes to vegetation caused by livestock.[83]",Animalia,Chordata,Aves,Aegotheliformes,Aegothelidae,Aegotheles,,,†A. novazelandiae,,,,,,,,
214,Nēnē-nui,Branta hylobadistes,"Oahu, Hawaii, United States",1046-1380,Probably hunting or introduced predators.[53],Animalia,Chordata,Aves,Aegotheliformes,Aegothelidae,Aegotheles,,,†A. novazelandiae,,,,,,,,
215,Edwards' baboon lemur,Archaeolemur edwardsi,Central Madagascar[104],1047-1280,Hunting and changes to vegetation caused by livestock.[83],Animalia,Chordata,Aves,Aegotheliformes,Aegothelidae,Aegotheles,,,†A. novazelandiae,,,,,,,,
216,Maui Nui moa-nalo,Thambetochen chauliodous,"Molokaiand Maui, Hawaii, United States",1057-1375,Undetermined.[14],Animalia,Chordata,Aves,Aegotheliformes,Aegothelidae,Aegotheles,,,†A. novazelandiae,,,,,,,,
217,Maui stilt-owl,Grallistrix erdmani,"Maui, Hawaii, United States",1057-1440,Undetermined.[14],Animalia,Chordata,Aves,Aegotheliformes,Aegothelidae,Aegotheles,,,†A. novazelandiae,,,,,,,,
218,New Zealand swan,Cygnus sumnerensis/chathamicus,New Zealand? and the Chatham Islands,1059-1401,"Hunting.[14]It was suggested that the material from the main islands is conspecific with the extantblack swan, while that from the Chathams represents a truly different, extinct species.[53]",Animalia,Chordata,Aves,Aegotheliformes,Aegothelidae,Aegotheles,,,†A. novazelandiae,,,,,,,,
219,Tenerife giant rat,Canariomys bravoi,"Tenerife, Canary Islands, Spain",1100-1300,Hunting.[105],Animalia,Chordata,Aves,Aegotheliformes,Aegothelidae,Aegotheles,,,†A. novazelandiae,,,,,,,,
220,Abaco tortoise,Chelonoidis alburyorum,"Abaco Islands, Bahamas",c. 1170,Undetermined.[13],Animalia,Chordata,Aves,Aegotheliformes,Aegothelidae,Aegotheles,,,†A. novazelandiae,,,,,,,,
221,Barbuda giant rice rat,Megalomys audreyae,Barbuda,1173-1385,Undetermined.[14],Animalia,Chordata,Aves,Aegotheliformes,Aegothelidae,Aegotheles,,,†A. novazelandiae,,,,,,,,
222,Atalaye nesophontes,Nesophontes hypomicrus,Hispaniola,1175-1295,Undetermined.[106],Animalia,Chordata,Aves,Aegotheliformes,Aegothelidae,Aegotheles,,,†A. novazelandiae,,,,,,,,
223,New Zealand owlet-nightjar,Aegotheles novaezealandiae,New Zealand,1183,Predation by introduced Polynesian rats.[107],Animalia,Chordata,Aves,Aegotheliformes,Aegothelidae,Aegotheles,,,†A. novazelandiae,,,,,,,,
224,Abrupt giant tortoise,Aldabrachelys abrupta,Madagascar,c. 1200,Hunting and aridification.[83],Animalia,Chordata,Aves,†Dinornithiformes,†Emeidae,†Pachyornis,,,†P. australis,,,,,Palaeognathae,,,
225,Ua Huka,Papasula abbotti costelloi,"Marquesas Islands, French Polynesia",c. 1200,Hunting and possibly also deforestation.[53],Animalia,Chordata,Aves,†Dinornithiformes,†Emeidae,†Pachyornis,,,†P. australis,,,,,Palaeognathae,,,
226,Chatham kaka,Nestor chathamensis,"Chatham Islands, New Zealand",1200-1600,"Probably hunting, deforestation, and predation by introduced Polynesian rats.[53]",Animalia,Chordata,Aves,†Dinornithiformes,†Emeidae,†Pachyornis,,,†P. australis,,,,,Palaeognathae,,,
227,Common koala lemur,Megaladapis madagascariensis,Madagascar,1206-1427,Hunting.[83],Animalia,Chordata,Aves,†Dinornithiformes,†Emeidae,†Pachyornis,,,†P. australis,,,,,Palaeognathae,,,
228,South Island adzebill,Aptornis defossor,"South Island, New Zealand",1234-1445,Hunting and predation by introduced Polynesian rats.[53],Animalia,Chordata,Aves,†Dinornithiformes,†Emeidae,†Pachyornis,,,†P. australis,,,,,Palaeognathae,,,
229,St. Michel nesophontes,Nesophontes paramicrus,Hispaniola,1265-1400,Undetermined.[106],Animalia,Chordata,Aves,†Dinornithiformes,†Emeidae,†Pachyornis,,,†P. australis,,,,,Palaeognathae,,,
230,Lava mouse,Malpaisomys insularis,"Lanzarote and Fuerteventura, Canary Islands",1270,Possibly disease spread by introduced rats.[108],Animalia,Chordata,Aves,†Dinornithiformes,†Emeidae,†Pachyornis,,,†P. australis,,,,,Palaeognathae,,,
231,Mantell's moa,Pachyornis geranoides,"North Island, New Zealand",1278-1415,Hunting.[14],Animalia,Chordata,Aves,†Dinornithiformes,†Emeidae,†Pachyornis,,,†P. australis,,,,,Palaeognathae,,,
232,North Island giant moa,Dinornis novaezelandiae,"North Island, New Zealand",1286-1390,Hunting.[109],Animalia,Chordata,Aves,†Dinornithiformes,†Emeidae,†Pachyornis,,,†P. australis,,,,,Palaeognathae,,,
233,Heavy-footed moa,Pachyornis elephantopus,"Eastern South Island, New Zealand",1294-1438,Hunting.[110],Animalia,Chordata,Aves,†Dinornithiformes,†Emeidae,†Pachyornis,,,†P. australis,,,,,Palaeognathae,,,
234,Western Cuban nesophontes,Nesophontes micrus,Cuba,1295-1430,Undetermined.[106],Animalia,Chordata,Aves,†Dinornithiformes,†Emeidae,†Pachyornis,,,†P. australis,,,,,Palaeognathae,,,
235,Haitian nesophontes,Nesophontes zamicrus,Hispaniola,1295-1430,Undetermined.[14],Animalia,Chordata,Aves,†Dinornithiformes,†Emeidae,†Pachyornis,,,†P. australis,,,,,Palaeognathae,,,
236,Austral Islands,Hypotaenidia steadmani,"Tabuai,Austral Islands, French Polynesia",c. 1300,Undetermined.[53],Animalia,Chordata,Aves,†Dinornithiformes,†Emeidae,†Pachyornis,,,†P. australis,,,,,Palaeognathae,,,
237,Chatham penguin,Eudyptes warhami,New Zealand,After 1300,Hunting.[111],Animalia,Chordata,Aves,†Dinornithiformes,†Emeidae,†Pachyornis,,,†P. australis,,,,,Palaeognathae,,,
238,Dwarf yellow-eyed penguin,Megadyptes antipodes richdalei,New Zealand,After 1300,Hunting.[111],Animalia,Chordata,Aves,†Dinornithiformes,†Emeidae,†Pachyornis,,,†P. australis,,,,,Palaeognathae,,,
